Voltage,Second,Turbidity,run
10.0,2.0,75.39,1
10.0,298.0,61.38,1
10.0,590.0,53.53,1
10.0,880.0,50.31,1
10.0,1179.0,49.59,1
10.0,1469.0,45.23,1
10.0,1760.0,32.95,1
10.0,2051.0,26.98,1
10.0,2342.0,24.76,1
10.0,2618.0,15.27,1
10.0,2881.0,11.01,1
10.0,3173.0,8.88,1
10.0,3461.0,1.65,1
10.0,3755.0,2.45,1
10.0,4054.0,0.34,1
10.0,2.0,37.99,2
10.0,302.0,41.76,2
10.0,602.0,42.22,2
10.0,902.0,40.38,2
10.0,1202.0,36.91,2
10.0,1502.0,31.14,2
10.0,1802.0,27.33,2
10.0,2102.0,20.38,2
10.0,2402.0,21.12,2
10.0,2702.0,11.27,2
10.0,3002.0,6.98,2
10.0,3302.0,4.72,2
10.0,3602.0,2.54,2
10.0,3902.0,6.11,2
10.0,4202.0,4.16,2
10.0,4502.0,1.04,2
10.0,4802.0,0.33,2
10.0,2.0,32.11,3
10.0,7.0,33.12,3
10.0,12.0,37.74,3
10.0,17.0,52.65,3
10.0,22.0,42.46,3
10.0,27.0,41.9,3
10.0,32.0,42.27,3
10.0,37.0,38.74,3
10.0,42.0,32.54,3
10.0,47.0,27.66,3
10.0,52.0,20.53,3
10.0,57.0,10.28,3
10.0,62.0,11.52,3
10.0,67.0,0.56,3
15.0,2.0,37.03,4
15.0,302.0,38.37,4
15.0,602.0,30.6,4
15.0,902.0,24.47,4
15.0,1202.0,20.51,4
15.0,1502.0,9.8,4
15.0,1802.0,4.86,4
15.0,2102.0,0.32,4
15.0,2.0,66.01,5
15.0,7.0,59.64,5
15.0,12.0,54.01,5
15.0,17.0,47.06,5
15.0,22.0,43.08,5
15.0,27.0,35.64,5
15.0,32.0,29.65,5
15.0,37.0,24.75,5
15.0,42.0,20.17,5
15.0,47.0,12.06,5
15.0,52.0,7.22,5
15.0,57.0,5.94,5
15.0,62.0,3.46,5
15.0,67.0,3.25,5
15.0,72.0,0.34,5
15.0,77.0,0.32,5
15.0,82.0,0.32,5
15.0,2.0,80.22,6
15.0,7.0,58.71,6
15.0,12.0,49.88,6
15.0,17.0,41.62,6
15.0,22.0,31.06,6
15.0,27.0,21.06,6
15.0,32.0,9.15,6
15.0,37.0,1.07,6
15.0,42.0,0.33,6
15.0,2.0,41.21,7
15.0,302.0,44.95,7
15.0,602.0,41.31,7
15.0,902.0,35.49,7
15.0,1202.0,25.46,7
15.0,1502.0,20.07,7
15.0,1802.0,6.41,7
15.0,2102.0,2.47,7
15.0,2402.0,0.31,7
20.0,2.0,82.36,8
20.0,302.0,65.29,8
20.0,602.0,48.81,8
20.0,902.0,32.41,8
20.0,1202.0,20.95,8
20.0,1502.0,14.34,8
20.0,1802.0,7.53,8
20.0,2102.0,3.41,8
20.0,2402.0,0.33,8
20.0,2.0,55.28,9
20.0,302.0,41.99,9
20.0,602.0,39.23,9
20.0,902.0,33.73,9
20.0,1202.0,28.5,9
20.0,1502.0,25.43,9
20.0,1802.0,20.38,9
20.0,2102.0,20.94,9
20.0,2402.0,10.78,9
20.0,2702.0,7.58,9
20.0,3002.0,4.81,9
20.0,3302.0,5.39,9
20.0,3602.0,1.02,9
20.0,3902.0,0.32,9
