Date,Voltage,No. of Electrodes,Spacing between electrode (mm),Time,Turbidity
22/10/2024,10,6,20,0,75.39
22/10/2024,10,6,20,5,61.38
22/10/2024,10,6,20,10,53.53
22/10/2024,10,6,20,15,50.31
22/10/2024,10,6,20,20,49.59
22/10/2024,10,6,20,25,45.23
22/10/2024,10,6,20,30,32.95
22/10/2024,10,6,20,35,26.98
22/10/2024,10,6,20,40,24.76
22/10/2024,10,6,20,45,15.27
22/10/2024,10,6,20,50,11.01
22/10/2024,10,6,20,55,8.88
22/10/2024,10,6,20,60,1.65
22/10/2024,10,6,20,65,2.45
22/10/2024,10,6,20,70,0.34
10/12/2024,10,6,20,0,37.99
10/12/2024,10,6,20,5,41.76
10/12/2024,10,6,20,10,42.22
10/12/2024,10,6,20,15,40.38
10/12/2024,10,6,20,20,36.91
10/12/2024,10,6,20,25,31.14
10/12/2024,10,6,20,30,27.33
10/12/2024,10,6,20,35,20.38
10/12/2024,10,6,20,40,21.12
10/12/2024,10,6,20,45,11.27
10/12/2024,10,6,20,50,6.98
10/12/2024,10,6,20,55,4.72
10/12/2024,10,6,20,60,2.54
10/12/2024,10,6,20,65,6.11
10/12/2024,10,6,20,70,4.16
10/12/2024,10,6,20,75,1.04
10/12/2024,10,6,20,80,0.33
15/1/2025,10,6,20,0,32.11
15/1/2025,10,6,20,5,33.12
15/1/2025,10,6,20,10,37.74
15/1/2025,10,6,20,15,52.65
15/1/2025,10,6,20,20,42.46
15/1/2025,10,6,20,25,41.9
15/1/2025,10,6,20,30,42.27
15/1/2025,10,6,20,35,38.74
15/1/2025,10,6,20,40,32.54
15/1/2025,10,6,20,45,27.66
15/1/2025,10,6,20,50,20.53
15/1/2025,10,6,20,55,10.28
15/1/2025,10,6,20,60,11.52
15/1/2025,10,6,20,65,0.56
3/12/2024,15,6,20,0,37.03
3/12/2024,15,6,20,5,38.37
3/12/2024,15,6,20,10,30.6
3/12/2024,15,6,20,15,24.47
3/12/2024,15,6,20,20,20.51
3/12/2024,15,6,20,25,9.8
3/12/2024,15,6,20,30,4.86
3/12/2024,15,6,20,35,0.32
24/12/2024,15,6,20,0,41.21
24/12/2024,15,6,20,5,44.95
24/12/2024,15,6,20,10,41.31
24/12/2024,15,6,20,15,35.49
24/12/2024,15,6,20,20,25.46
24/12/2024,15,6,20,25,20.07
24/12/2024,15,6,20,30,6.41
24/12/2024,15,6,20,35,2.47
24/12/2024,15,6,20,40,0.31
22/1/2025,15,6,20,0,80.22
22/1/2025,15,6,20,5,58.71
22/1/2025,15,6,20,10,49.88
22/1/2025,15,6,20,15,41.62
22/1/2025,15,6,20,20,31.06
22/1/2025,15,6,20,25,21.06
22/1/2025,15,6,20,30,9.15
22/1/2025,15,6,20,35,1.07
22/1/2025,15,6,20,40,0.33
5/11/2025,15,6,20,0,66.01
5/11/2025,15,6,20,5,59.64
5/11/2025,15,6,20,10,54.01
5/11/2025,15,6,20,15,47.06
5/11/2025,15,6,20,20,43.08
5/11/2025,15,6,20,25,35.64
5/11/2025,15,6,20,30,29.65
5/11/2025,15,6,20,35,24.75
5/11/2025,15,6,20,40,20.17
5/11/2025,15,6,20,45,12.06
5/11/2025,15,6,20,50,7.22
5/11/2025,15,6,20,55,5.94
5/11/2025,15,6,20,60,3.46
5/11/2025,15,6,20,65,3.25
5/11/2025,15,6,20,70,0.34
5/11/2025,15,6,20,75,0.32
5/11/2025,15,6,20,80,0.32
26/11/2024,20,6,20,0,55.28
26/11/2024,20,6,20,5,41.99
26/11/2024,20,6,20,10,39.23
26/11/2024,20,6,20,15,33.73
26/11/2024,20,6,20,20,28.5
26/11/2024,20,6,20,25,25.43
26/11/2024,20,6,20,30,20.38
26/11/2024,20,6,20,35,20.94
26/11/2024,20,6,20,40,10.78
26/11/2024,20,6,20,45,7.58
26/11/2024,20,6,20,50,4.81
26/11/2024,20,6,20,55,5.39
26/11/2024,20,6,20,60,1.02
26/11/2024,20,6,20,65,0.32
18/12/2024,20,6,20,0,87.24
18/12/2024,20,6,20,5,70.14
18/12/2024,20,6,20,10,53.76
